URL,Date,Tweet,ID,Replies,Retweets,Likes,Quotes,Conv. ID,Language,Links,Media,Retweeted Tweet,Bookmarks,Username
https://twitter.com/kangnugo85/status/1670944177612521472,2023-06-19 23:58:31+00:00,"Sistem zonasi tdk dibarengi dgn kehadiran negara memberikan penambahan infrastruktur pendidikan. Tdk ad penambahan sekolah negeri baru, ruang kelas baru. Akses sekolah negeri jd trbatas, begitu terbatas dilemparkan ke mekanisme pasar. Bisnis pendidikan ini pun menggiurkan",1670944177612521472,1,2,8,1,1670944177612521472,in,,,,0,kangnugo85
https://twitter.com/kangnugo85/status/1670944014802227200,2023-06-19 23:57:52+00:00,"@kompascom Sistem zonasi tdk dibarengi dgn kehadiran negara memberikan penambahan infrastruktur pendidikan. Tdk ad penambahan sekolah negeri baru, ruang kelas baru. Akses sekolah negeri jd trbatas, begitu terbatas dilemparkan ke mekanisme pasar. Bisnis pendidikan ini pun menggiurkan",1670944014802227200,0,0,5,0,1670840378906542080,in,,,,0,kangnugo85
https://twitter.com/adkesmahmtsk/status/1670941274386595840,2023-06-19 23:46:59+00:00,"8. Kepala Kantor Hukum UPI; 
9. ULT UPI; 
10. Kepala Divisi Pengembangan Sistem Informasi Direktorat STI UPI; 
11. Kepala Divisi dan Kepala Seksi di lingkungan Direktorat Pendidikan UPI.",1670941274386595840,1,0,0,0,1670941250113945604,in,,,,0,adkesmahmtsk
https://twitter.com/bualfadna/status/1670938184883261441,2023-06-19 23:34:42+00:00,"sistem pendidikan Islam yang berdasar pada akidah Islam yang bertujuan  membentuk generasi berkepribadian Islam, dimana outputnya pola pikir dan pola sikapnya tidak menyimpang syariah Islam. Mereka begitu paham bahwa mereka dihidupkan tiada lain di luar ibadah semata.",1670938184883261441,0,0,0,0,1670929279742525440,in,,,,0,bualfadna
https://twitter.com/annisahbilqis/status/1670937134780534787,2023-06-19 23:30:32+00:00,"@kompascom kalo gini trs sampe w pny anak bakal tinggal di bambu apus deket ke SD, SMP gue dulu, SMA ga ada tp SMK banyak. smg sistem pendidikan bisa lebih baik lg.",1670937134780534787,0,0,0,0,1670840378906542080,in,,,,0,annisahbilqis
https://twitter.com/cungerhan0pan5/status/1670937119983038464,2023-06-19 23:30:28+00:00,"dengan sistem pendidikan Islam yang berlandaskan pada akidah Islam bertujuan  menghasilkan generasi memiliki kepribadian Islam, dimana hasilnya adalah pola pikir dan pola sikapnya tak menyelisihi syariah Islam. Mereka sangat paham bahwa mereka dihidupkan untuk beribadah.",1670937119983038464,0,0,0,0,1670929014029172736,in,,,,0,cungerhan0pan5
https://twitter.com/PBebasga/status/1670936727500759046,2023-06-19 23:28:54+00:00,"dengan sistem pendidikan Islam yang berbasis pada akidah Islam memiliki tujuan  membentuk generasi berkepribadian Islam, dimana outputnya pola pikir dan pola sikapnya sesuai dengan syariah Islam. Mereka sangat paham jika mereka dihidupkan tidak lain selain beribadah.",1670936727500759046,0,0,0,0,1670928632796319744,in,,,,0,PBebasga
https://twitter.com/EXCOPARTAIBURUH/status/1670936699235622917,2023-06-19 23:28:48+00:00,"Partai Buruh menjunjung tinggi prinsip solidaritas dan mengadvokasi perlindungan kelas pekerja. Melalui keikutsertaan aktif dlm partai ini, kita dpt membangun sistem yg inklusif, di mana setiap warga memiliki akses yg setara terhadap pendidikan, kesehatan, dan kesempatan yg adil.",1670936699235622917,0,1,2,0,1670936695829843969,in,,,,0,EXCOPARTAIBURUH
https://twitter.com/MedenanB/status/1670936031254949888,2023-06-19 23:26:08+00:00,"gan sistem pendidikan Islam yang berdasar pada akidah Islam bertujuan  membentuk generasi berkepribadian Islam, dimana outputnya pola pikir juga pola sikapnya tak melanggar syariah Islam. Mereka sangat paham bahwa mereka dihidupkan untuk beribadah.",1670936031254949888,0,0,0,0,1670928353115918336,in,,,,0,MedenanB
https://twitter.com/HeadYantz/status/1670915105763258368,2023-06-19 22:02:59+00:00,"@democrazymedia Krn blm mengganggu atau mengancam ranah kepentingan,pdhal yg paling dirugikan adalah umat dan bangsa ini...dimana sistem dan tempat pendidikan tempat yg paling aman utk mendidik generasi berubah jd tempat malapetaka",1670915105763258368,0,0,0,0,1670661435314274304,in,,,,0,HeadYantz
